,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,W,GP,PTS,REB,AST,STL,BLK,TOV,PLUS_MINUS
705,948,Marcus Camby,TOR,16,63,765,466,111,68,230,134,-365
706,712,Mario Bennett,LAL,35,45,177,126,18,19,11,21,16
707,53,Mario Elie,HOU,35,73,612,156,221,81,8,100,-28
708,95,Mark Bryant,PHX,46,70,291,244,46,36,15,58,171
709,707,Mark Davis,PHI,27,71,282,158,73,49,18,91,-88
710,971,Mark Hendrickson,SAC,15,48,163,143,41,26,9,31,-108
711,349,Mark Jackson,IND,58,82,678,322,713,84,2,174,443
712,998,Mark Pope,IND,22,28,39,26,7,3,6,10,-15
713,899,Mark Price,ORL,34,63,597,129,297,53,5,162,-18
714,1110,Mark Strickland,MIA,34,51,347,212,26,18,34,47,-6
715,770,Mark West,IND,9,15,23,15,2,2,4,8,-1
716,1527,Marko Milic,PHX,24,33,92,25,12,10,0,21,24
717,982,Martin Muursepp,DAL,9,41,233,114,30,29,14,29,-21
718,55,Marty Conlon,MIA,11,18,88,46,12,9,5,11,37
719,672,Matt Bullard,HOU,34,67,466,146,60,31,24,39,-44
720,761,Matt Geiger,CHH,48,78,885,521,78,68,87,111,-45
721,1074,Matt Maloney,HOU,39,78,669,142,219,62,5,107,-73
722,1508,Maurice Taylor,LAC,16,71,815,296,53,34,40,107,-255
723,262,Michael Cage,NJN,42,79,106,308,32,45,44,23,72
724,688,Michael Curry,MIL,36,82,543,98,137,56,14,77,-209
725,714,Michael Finley,DAL,20,82,1763,438,405,132,30,219,-409
726,893,Michael Jordan,CHI,62,82,2357,475,283,141,45,185,598
727,1075,Michael McDonald,CHH,1,1,0,1,0,0,0,2,-6
728,63,Michael Smith,VAN,12,48,251,306,88,41,15,51,-150
729,1565,Michael Stewart,SAC,26,81,375,536,61,29,195,85,-149
730,52,Micheal Williams,MIN,15,25,64,14,32,9,2,16,-2
731,782,Mitch Richmond,SAC,26,70,1623,229,279,88,15,181,-132
732,348,Mitchell Butler,CLE,12,18,37,22,18,8,0,8,11
733,42,Monty Williams,SAS,49,72,453,179,89,34,24,82,-32
734,302,Mookie Blaylock,ATL,44,70,921,341,469,181,21,176,415
735,177,Muggsy Bogues,GSW,19,61,347,132,331,67,3,105,-227
736,203,Nate McMillan,SEA,12,18,62,40,55,14,4,12,63
737,98,Nick Anderson,ORL,31,58,890,297,119,72,23,85,13
738,89,Nick Van Exel,LAL,47,64,881,194,442,64,6,104,322
739,178,Olden Polynice,SAC,25,70,550,439,107,37,45,98,-173
740,932,Oliver Miller,TOR,15,64,401,400,196,58,72,131,-303
741,970,Othella Harrington,HOU,27,58,350,207,24,10,27,47,-112
742,901,Otis Thorpe,SAC,16,74,752,537,222,48,30,152,-514
743,136,P.J. Brown,MIA,48,74,707,635,103,66,98,97,287
744,121,Patrick Ewing,NYK,15,26,540,265,28,16,58,77,81
745,442,Pervis Ellison,BOS,17,33,100,109,31,20,31,28,21
746,432,Pete Chilcutt,VAN,19,82,405,306,104,53,37,62,-171
747,939,Pete Myers,NYK,5,9,14,10,3,4,0,4,-1
748,71,Pooh Richardson,LAC,14,69,289,96,226,44,3,54,-292
749,461,Popeye Jones,TOR,1,14,120,102,18,10,3,16,-4
750,968,Priest Lauderdale,DEN,3,39,144,100,21,7,17,46,-41
751,753,Randy Brown,CHI,53,71,288,94,151,71,12,63,38
752,988,Randy Livingston,ATL,10,12,10,6,5,7,2,6,-15
753,739,Rasheed Wallace,POR,43,77,1124,478,195,75,88,167,247
754,951,Ray Allen,MIL,36,82,1602,405,356,111,12,263,-72
755,1002,Reggie Geary,SAS,42,62,152,67,74,37,12,42,57
756,1682,Reggie Hanson,BOS,5,8,6,6,1,2,1,3,1
757,674,Reggie Jordan,MIN,36,57,149,97,50,35,9,30,36
758,397,Reggie Miller,IND,58,81,1578,232,171,78,11,128,526
759,1073,Reggie Slater,TOR,15,78,625,305,74,45,30,102,-246
760,364,Rex Chapman,PHX,46,68,1082,173,203,71,14,116,158
761,777,Rex Walters,MIA,22,38,80,24,35,8,1,27,-54
762,1594,Rick Brunson,POR,21,38,162,56,100,25,3,52,-22
