,Unnamed: 0,SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG3M,TS_PCT,USG_PCT,PIE,PER,WS,AS
11875,11875,2023,1626163,Frank Kaminsky,1610612745,HOU,28,195.555,75,40,27,5,3,9,11,0.6654545454545455,0.05272,0.0793636363636363,17.238071216942277,0.6300349136032029,0.0
11876,11876,2023,1628373,Frank Ntilikina,1610612742,DAL,36,431.6116666666667,91,46,40,8,4,24,11,0.554125,0.0741333333333333,0.030375,4.114690496598626,-0.1604631337606085,0.0
11877,11877,2023,1630532,Franz Wagner,1610612753,ORL,58,1923.7083333333333,1096,228,205,54,11,124,96,0.6019411764705883,0.2475294117647059,0.1205294117647058,18.13917063789728,6.034357844238789,0.0
11878,11878,2023,1627832,Fred VanVleet,1610612761,TOR,50,1846.8566666666663,985,216,332,79,31,95,150,0.4985,0.2344166666666666,0.0938333333333333,19.6126952694101,6.865025828725552,0.0
11879,11879,2023,1627788,Furkan Korkmaz,1610612755,PHI,25,254.7033333333333,95,29,18,6,3,15,12,0.3655,0.1263571428571428,0.1045,10.266938110268107,0.1928170035051319,0.0
11880,11880,2023,1629216,Gabe Vincent,1610612748,MIA,45,1182.91,449,103,117,42,4,67,80,0.4135,0.1551666666666666,0.0324,10.603433264767322,1.2573820601594452,0.0
11881,11881,2023,202066,Garrett Temple,1610612740,NOP,18,129.1233333333333,42,11,10,9,1,3,9,0.3711428571428571,0.0677368421052631,-0.0345714285714285,12.877107730721075,0.2531859203892621,0.0
11882,11882,2023,1629726,Garrison Mathews,1610612737,ATL,46,605.7083333333334,217,63,23,23,4,18,54,0.596125,0.1164705882352941,0.0384375,10.50309329245573,1.0536724305898948,0.0
11883,11883,2023,203914,Gary Harris,1610612753,ORL,30,735.22,260,64,36,27,5,21,55,0.5721666666666666,0.1311428571428571,0.053,12.81510048302751,1.6422565904428443,0.0
11884,11884,2023,1627780,Gary Payton II,1610612744,GSW,15,255.26,61,39,22,16,1,12,9,,0.0,,12.145185962890205,0.4481170889276792,0.0
11885,11885,2023,1629018,Gary Trent Jr.,1610612761,TOR,50,1681.8633333333332,932,128,81,83,14,46,132,0.6064999999999999,0.1465,0.0985,17.961351056526606,5.10210395318063,0.0
11886,11886,2023,201588,George Hill,1610612754,IND,36,676.6366666666667,175,67,89,20,3,27,23,0.5490833333333334,0.0947333333333333,0.0760833333333333,11.073923461698204,1.2512160541575463,0.0
11887,11887,2023,1627777,Georges Niang,1610612755,PHI,55,1088.5483333333334,485,137,63,23,11,40,119,0.5777692307692308,0.1701538461538461,0.0693846153846153,13.593523574908588,2.234194540649042,0.0
11889,11889,2023,1629048,Goga Bitadze,1610612753,ORL,21,202.185,69,49,18,9,10,12,4,0.5708888888888889,0.0608636363636363,0.0515555555555555,16.641356641513674,0.4341343502336478,0.0
11890,11890,2023,201609,Goran Dragic,1610612749,MIL,51,787.09,326,69,139,11,4,56,45,0.4730999999999999,0.20475,0.06865,11.499261006365414,1.295178859341336,0.0
11891,11891,2023,202330,Gordon Hayward,1610612766,CHA,34,1059.4016666666666,473,143,123,30,7,63,35,0.5062727272727273,0.191,0.0815454545454545,14.499331051198665,1.994734320291668,0.0
11892,11892,2023,203476,Gorgui Dieng,1610612759,SAS,19,193.045,65,53,28,2,7,16,12,0.4627,0.0760952380952381,0.0848,12.734008102315183,0.2783335209544385,0.0
11893,11893,2023,1629684,Grant Williams,1610612738,BOS,58,1616.395,507,281,106,37,22,66,89,0.6984666666666667,0.1074,0.0886,12.067001166357445,3.0259632526280007,0.0
11894,11894,2023,1628960,Grayson Allen,1610612749,MIL,54,1491.1716666666666,566,184,130,44,10,59,106,0.6421428571428571,0.1251333333333333,0.1012142857142857,14.361090887139287,3.9286821729786463,0.0
11895,11895,2023,1630535,Greg Brown III,1610612757,POR,16,93.09166666666668,28,19,3,4,5,6,1,0.4366666666666667,0.0699333333333333,0.0498333333333333,6.72186667923507,-0.10336872026199,0.0
11896,11896,2023,1628977,Hamidou Diallo,1610612765,DET,50,841.1316666666667,434,167,47,45,14,59,5,0.5517500000000001,0.1775714285714285,0.0911666666666666,18.40168933440705,1.8962457769223056,0.0
11897,11897,2023,203084,Harrison Barnes,1610612758,SAC,57,1860.9183333333333,848,262,90,43,7,65,95,0.6618235294117647,0.165,0.106,15.555030845990665,5.237586584836867,0.0
11898,11898,2023,1629312,Haywood Highsmith,1610612748,MIA,43,846.73,206,161,30,33,15,35,35,0.2141666666666666,0.078625,0.0320833333333333,9.751447168428212,0.4642645760324243,0.0
