,Unnamed: 0,SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG3M,TS_PCT,USG_PCT,PIE,PER,WS,AS
3224,3224,2004,136,P.J. Brown,1610612740,NOH,52,1847.4366666666667,549,466,99,59,39,66,0,0.5299,0.1530333333333333,0.1179333333333333,18.307357866347072,4.834643733359822,0.0
3225,3225,2004,1727,Pat Garrity,1610612753,ORL,2,21.25,2,0,1,0,0,0,0,0.1665,0.0303333333333333,-0.0085,0.7188396047104177,,0.0
3226,3226,2004,2200,Pau Gasol,1610612763,MEM,52,1668.4816666666666,916,409,126,30,89,127,4,0.5557857142857142,0.26125,0.1256428571428571,26.467809181042163,7.513301156605045,0.0
3227,3227,2004,1514,Paul Grant,1610612762,UTA,10,96.33833333333334,25,17,3,1,1,7,0,0.5478333333333333,0.107125,-0.0195,6.697849052350494,0.0706646910710762,0.0
3230,3230,2004,461,Popeye Jones,1610612744,GSW,5,9.986666666666666,0,1,0,0,0,0,0,0.0,0.0058421052631578,-0.208,-9.622379671059363,,0.0
3231,3231,2004,1542,Predrag Drobnjak,1610612746,LAC,37,619.61,238,134,21,14,20,31,7,0.3865714285714285,0.1555555555555555,0.0233571428571428,14.465222359688626,1.155623033533385,0.0
3232,3232,2004,2056,Primoz Brezec,1610612754,IND,14,50.995,17,10,3,0,3,5,0,0.2172857142857142,0.0384117647058823,-0.2318571428571428,10.516067873393071,0.0493822275740613,0.0
3233,3233,2004,2047,Quentin Richardson,1610612746,LAC,46,1634.3483333333334,813,278,90,44,15,103,96,0.4446666666666667,0.2138636363636363,0.0715714285714285,19.255323795029447,5.612149105351297,0.0
3234,3234,2004,1900,Quincy Lewis,1610612750,MIN,14,63.485,16,7,2,2,2,3,2,0.4642857142857143,0.0879,-0.1135714285714285,5.327376148666367,,0.0
3235,3235,2004,2417,Qyntel Woods,1610612757,POR,45,571.7533333333333,188,124,41,17,13,48,7,0.2786,0.1444,0.0364,11.77644700397587,0.4843779699773435,0.0
3236,3236,2004,1711,Raef LaFrentz,1610612738,BOS,17,330.20666666666665,132,79,24,8,13,11,8,0.4913,0.1924,0.0889,20.82269721026422,1.1980437704533873,0.0
3237,3237,2004,1747,Rafer Alston,1610612748,MIA,54,1709.4216666666666,512,133,237,59,10,86,95,0.507375,0.17528125,0.07565625,14.97718975038882,4.751321165017866,0.0
3238,3238,2004,1952,Raja Bell,1610612762,UTA,53,1257.5983333333334,547,145,70,37,9,63,47,0.4848857142857143,0.2287714285714285,0.0356571428571428,16.031883001538176,4.32797752181626,0.0
3239,3239,2004,1740,Rashard Lewis,1610612760,SEA,51,1909.1666666666667,973,359,103,60,34,91,104,0.5345769230769231,0.2309259259259259,0.1126538461538461,23.132637963932304,7.982814997289865,0.0
3240,3240,2004,739,Rasheed Wallace,1610612765,DET,45,1678.4533333333334,766,298,114,36,72,87,59,0.4973448275862069,0.225258064516129,0.1055862068965517,21.80571165358422,6.110545569036099,0.0
3241,3241,2004,1725,Rasho Nesterovic,1610612759,SAS,53,1505.5266666666666,454,402,61,33,101,80,0,0.4186315789473684,0.1718421052631579,0.0717368421052631,17.59992485254642,2.680477924011898,0.0
